Index,Year,Authors,Name,Bibtex,DOI,AR OST HWD,AR VST HWD,Handheld AR (Smartphone),Handheld AR (Tablet),Spatial AR (projector based),Stereoscopic Projection,CAVE,VR HWD,Smartwatch,Smartphone,Tablet,Laptop,Desktop,Projection,Large Display,Tabletop,Symmetric,Asymmetric,Remote Control,Dynamic Lens,Augmented Display,VESAD,Logical Distribution,Migratory Interface,Parallel,Serial,Exclusive,Single User,Multi-user - Shared Component,Multi-user - Indvidual Component,Near,Personal,Social,Public,Flexible,Semi-Fixed,Fixed,Unidirectional (MR-centric),Bidirectional,Unidirectional (2D-centric),Co-Located,Remote,Component-coupled,Dynamic,Free,Development/Authoring,Gaming,DataVis/Data Analysis,SciVis,Medical,Productivity,Collaboration,Entertainment,3D Object Manipulation,3D Design/Sketching,Text Entry / Annotations,Study,Other / None,Term: Hybrid UI,Term: Hybrid <other>,Term: Cross-Device,Term: Cross-Reality,Term: Multi-Device,Term: Augmented Display,Term: Transitional,Undefined,Other Terms,Empirical,Artifact,Method,Theory,Dataset,Survey,Opinion,Empirical (-),Artifact (-),Method (-),Theory (-),Dataset (-),Survey (-),Opinion (-),Informative,Demonstration,Technical Evaluation,Usage,Heuristic,No Evaluation,Edge Case
357,1999,"Tobias Höllerer, Steven Feiner, Tachio Terauchi, Gus Rashid, Drexel Hallaway",Exploring MARS: developing indoor and outdoor user interfaces to a mobile augmented reality system,"@article{hollerer1999exploring,
  type = {{{HTML}}},
  title = {Exploring {{MARS}}: Developing Indoor and Outdoor User Interfaces to a Mobile Augmented Reality System},
  author = {H{\""o}llerer, T and Feiner, S and Terauchi, T and Rashid, G and {...}},
  year = {1999},
  journal = {Computers \& {\dots}},
  publisher = {Elsevier},
  abstract = {We describe an experimental mobile augmented reality system (MARS) testbed that employs different user interfaces to allow outdoor and indoor users to access and manage {\dots}},
  note+duplicate-1 = {Query date: 2024-06-17 08:22:08}
}",10.1016/S0097-8493(99)00103-X,x,,,,,,,,,,x,,x,,,,,x,,,,,x,,x,x,,x,,,,x,,,,,x,,,x,x,,,,x,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,
359,2021,"Sebastian Hubenschmid, Johannes Zagermann, Simon Butscher, Harald Reiterer",Stream: Exploring the combination of spatially-aware tablets with augmented reality head-mounted displays for immersive analytics,"@inproceedings{hubenschmid2021stream,
  title = {Stream: {{Exploring}} the Combination of Spatially-Aware Tablets with Augmented Reality Head-Mounted Displays for Immersive Analytics},
  booktitle = {Conference on {{Human Factors}} in {{Computing Systems}} - {{Proceedings}}},
  author = {Hubenschmid, Sebastian and Zagermann, Johannes and Butscher, Simon and Reiterer, Harald},
  year = {2021},
  month = may,
  publisher = {Association for Computing Machinery},
  doi = {10.1145/3411764.3445298},
  abstract = {Recent research in the area of immersive analytics demonstrated the utility of head-mounted augmented reality devices for visual data analysis. However, it can be challenging to use the by default supported mid-air gestures to interact with visualizations in augmented reality (e.g. due to limited precision). Touch-based interaction (e.g. via mobile devices) can compensate for these drawbacks, but is limited to two-dimensional input. In this work we present STREAM: Spatially-aware Tablets combined with Augmented Reality Head-Mounted Displays for the multimodal interaction with 3D visualizations. We developed a novel eyes-free interaction concept for the seamless transition between the tablet and the augmented reality environment. A user study reveals that participants appreciated the novel interaction concept, indicating the potential for spatially-aware tablets in augmented reality. Based on our fndings, we provide design insights to foster the application of spatially-aware touch devices in augmented reality and research implications indicating areas that need further investigation.},
  isbn = {978-1-4503-8096-6}
}",10.1145/3411764.3445298,x,,,,,,,,,,x,,,,,,x,,,,x,,x,,x,x,,x,,,,x,,,,,x,,,x,x,,,x,,,,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,-,,,,,,,,,,x,,,
376,2023,"Daniel Schwajda, Judith Friedl, Fabian Pointecker, Hans-Christian Jetter, Christoph Anthes",Transforming graph data visualisations from 2D displays into augmented reality 3D space: A quantitative study,"@article{schwajda2023transforming,
  type = {{{HTML}}},
  title = {Transforming Graph Data Visualisations from {{2D}} Displays into Augmented Reality {{3D}} Space: {{A}} Quantitative Study},
  author = {Schwajda, D and Friedl, J and Pointecker, F and Jetter, {\relax HC} and {...}},
  year = {2023},
  journal = {Frontiers in Virtual {\dots}},
  publisher = {frontiersin.org},
  doi = {10.3389/frvir.2023.1155628},
  abstract = {Modern video-based head-mounted displays allow users to operate along Milgram's entire reality-virtuality continuum. This opens up the field for novel cross-reality applications that {\dots}},
  note+duplicate-1 = {Query date: 2024-06-17 08:22:08}
}",10.3389/frvir.2023.1155628,,x,,,,,,,,,,,,,x,,,x,,,,,,x,x,x,,x,,,,,x,,,x,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,-,,,,,,,x,,,
380,2023,"Raphaël James, Anastasia Bezerianos, Olivier Chapuis",Evaluating the extension of wall displays with AR for collaborative work,"@article{james2023evaluating,
  title = {Evaluating the Extension of Wall Displays with {{AR}} for Collaborative Work},
  author = {James, R and Bezerianos, A and Chapuis, O},
  year = {2023},
  journal = {{\dots} of the 2023 CHI Conference on {\dots}},
  publisher = {dl.acm.org},
  doi = {10.1145/3544548.3580752},
  abstract = {Wall displays are well suited for collaborative work and are often placed in rooms with ample space in front of them that remains largely unused. Augmented Reality (AR) headsets can {\dots}},
  note+duplicate-1 = {Query date: 2024-06-17 08:22:08}
}",10.1145/3544548.3580752,x,,,,,,,,,,,,,,x,,,,,,,,x,,,x,-,,x,,,,x,,,x,,x,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,
390,2013,"Rahul Budhiraja, Gun A. Lee, Mark Billinghurst",Using a HHD with a HMD for mobile AR interaction,"@article{budhiraja2013using,
  title = {Using a {{HHD}} with a {{HMD}} for Mobile {{AR}} Interaction},
  author = {Budhiraja, R and Lee, {\relax GA} and {...}},
  year = {2013},
  journal = {2013 IEEE International {\dots}},
  publisher = {ieeexplore.ieee.org},
  abstract = {Mobile Augmented Reality (AR) applications are typically deployed either on head mounted displays (HMD) or handheld displays (HHD). This paper explores novel interaction {\dots}},
  note+duplicate-1 = {Query date: 2024-06-17 08:22:08}
}",10.1109/ISMAR.2013.6671837,,,,,,,,x,,x,,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,x,,,x,x,,,,x,,,,,,x,,,,,,,,,x,x,,,,,,,,x,,,,,,-,,,,,,,,,,x,,,
396,2021,"Katja Vock, Sebastian Hubenschmid, Johannes Zagermann, Simon Butscher, Harald Reiterer",IDIAR: Augmented Reality Dashboards to Supervise Mobile Intervention Studies,"@inproceedings{vock2021idiar,
  title = {{{IDIAR}}: {{Augmented Reality Dashboards}} to {{Supervise Mobile Intervention Studies}}},
  booktitle = {{{ACM International Conference Proceeding Series}}},
  author = {Vock, Katja and Hubenschmid, Sebastian and Zagermann, Johannes and Butscher, Simon and Reiterer, Harald},
  year = {2021},
  pages = {248--259},
  doi = {10.1145/3473856.3473876},
  abstract = {Mobile intervention studies employ mobile devices to observe participants' behavior change over several weeks. Researchers regularly monitor high-dimensional data streams to ensure data quality and prevent data loss (e.g., missing engagement or malfunctions). The multitude of problem sources hampers possible automated detection of such irregularities - providing a use case for interactive dashboards. With the advent of untethered head-mounted AR devices, these dashboards can be placed anywhere in the user's physical environment, leveraging the available space and allowing for flexible information arrangement and natural navigation. In this work, we present the user-centered design and the evaluation of IDIAR: Interactive Dashboards in AR, combining a head-mounted display with the familiar interaction of a smartphone. A user study with 15 domain experts for mobile intervention studies shows that participants appreciated the multimodal interaction approach. Based on our findings, we provide implications for research and design of interactive dashboards in AR.},
  isbn = {978-1-4503-8645-6}
}",10.1145/3473856.3473876,x,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,x,,x,,x,,,,x,,,x,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,-,,,,,,,,,x,,,
401,2022,"Michael Aichem, Karsten Klein, Tobias Czauderna, Dimitar Garkov, Jinxin Zhao, Jian Li, Falk Schreiber",Towards a hybrid user interface for the visual exploration of large biomolecular networks using virtual reality,"@article{aichem2022hybrid,
  title = {Towards a Hybrid User Interface for the Visual Exploration of Large Biomolecular Networks Using Virtual Reality},
  author = {Aichem, Michael and Klein, Karsten and Czauderna, Tobias and Garkov, Dimitar and Zhao, Jinxin and Li, Jian and Schreiber, Falk},
  year = {2022},
  month = dec,
  journal = {Journal of Integrative Bioinformatics},
  volume = {19},
  number = {4},
  publisher = {De Gruyter},
  issn = {1613-4516},
  doi = {10.1515/jib-2022-0034},
  abstract = {Biomolecular networks, including genome-scale metabolic models (GSMMs), assemble the knowledge regarding the biological processes that happen inside specific organisms in a way that allows for analysis, simulation, and exploration. With the increasing availability of genome annotations and the development of powerful reconstruction tools, biomolecular networks continue to grow ever larger. While visual exploration can facilitate the understanding of such networks, the network sizes represent a major challenge for current visualisation systems. Building on promising results from the area of immersive analytics, which among others deals with the potential of immersive visualisation for data analysis, we present a concept for a hybrid user interface that combines a classical desktop environment with a virtual reality environment for the visual exploration of large biomolecular networks and corresponding data. We present system requirements and design considerations, describe a resulting concept, an envisioned technical realisation, and a systems biology usage scenario. Finally, we discuss remaining challenges.},
  langid = {english}
}",10.1515/jib-2022-0034,,,,,,,,x,,,,,x,,,,,,,,,,,x,,,x,x,,,,x,,,,x,,,x,,x,,,x,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,x
407,2004,"Adrian Ilie, Kok-Lim Low, Greg Welch, Anselmo Lastra, Henry Fuchs, Bruce Cairns",Combining head-mounted and projector-based displays for surgical training,"@article{ilie2004combining,
  title = {Combining Head-Mounted and Projector-Based Displays for Surgical Training},
  author = {Ilie, A and Low, {\relax KL} and Welch, G and Lastra, A and Fuchs, H and {...}},
  year = {2004},
  journal = {{\dots} Teleoperators \&Virtual {\dots}},
  publisher = {direct.mit.edu},
  abstract = {We introduce and present preliminary results for a hybrid display system combining head-mounted and projector-based displays. Our work is motivated by a surgical training {\dots}},
  note+duplicate-1 = {Query date: 2024-06-17 08:22:08}
}",10.1109/VR.2003.1191128,,,,,x,,,x,,,,,,x,,,,,,,,,x,,x,,,x,,,,x,x,,,x,,x,,,x,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
477,2007,"Sangyoon Lee, Sunghoon Yim, Gerard Jounghyun Kim, Ungyeon Yang, Chang-Hun Kim",Design and evaluation of a hybrid display system for motion-following tasks,"@article{lee2007design,
  title = {Design and Evaluation of a Hybrid Display System for Motion-Following Tasks},
  author = {Lee, S and Yim, S and Kim, {\relax GJ} and Yang, U and Kim, {\relax CH}},
  year = {2007},
  journal = {{\dots} , ICVR 2007, Held as part of HCI {\dots}},
  publisher = {Springer},
  doi = {10.1007/978-3-540-73335-5_31},
  abstract = {Hybrid display systems are those that combine different types of displays to exploit the complementary characteristics of the constituent display systems. In this paper, we introduce {\dots}},
  note+duplicate-1 = {Query date: 2024-06-17 08:22:08}
}",10.1007/978-3-540-73335-5_31,x,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,x,,,,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,
531,2021,"Marc Satkowski, Weizhou Luo, Raimund Dachselt",Towards In-situ Authoring of AR Visualizations with Mobile Devices,"@inproceedings{satkowski2021insitu,
  title = {Towards {{In-situ Authoring}} of {{AR Visualizations}} with {{Mobile Devices}}},
  booktitle = {2021 {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality Adjunct}} ({{ISMAR-Adjunct}})},
  author = {Satkowski, Marc and Luo, Weizhou and Dachselt, Raimund},
  year = {2021},
  month = oct,
  pages = {324--325},
  publisher = {IEEE},
  doi = {10.1109/ISMAR-Adjunct54149.2021.00073},
  isbn = {978-1-66541-298-8}
}",10.1109/ISMAR-Adjunct54149.2021.00073,x,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,x,,,,x,,,,x,,,x,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,x,,,,,
534,2009,"Shaun K. Kane, Daniel Avrahami, Jacob O. Wobbrock, Beverly Harrison, Adam D. Rea, Matthai Philipose, Anthony LaMarca",Bonfire: a nomadic system for hybrid laptop-tabletop interaction,"@inproceedings{kane2009bonfire,
  title = {Bonfire: A Nomadic System for Hybrid Laptop-Tabletop Interaction},
  shorttitle = {Bonfire},
  booktitle = {Proceedings of the 22nd Annual {{ACM}} Symposium on {{User}} Interface Software and Technology},
  author = {Kane, Shaun K. and Avrahami, Daniel and Wobbrock, Jacob O. and Harrison, Beverly and Rea, Adam D. and Philipose, Matthai and LaMarca, Anthony},
  year = {2009},
  month = oct,
  series = {{{UIST}} '09},
  pages = {129--138},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/1622176.1622202},
  abstract = {We present Bonfire, a self-contained mobile computing system that uses two laptop-mounted laser micro-projectors to project an interactive display space to either side of a laptop keyboard. Coupled with each micro-projector is a camera to enable hand gesture tracking, object recognition, and information transfer within the projected space. Thus, Bonfire is neither a pure laptop system nor a pure tabletop system, but an integration of the two into one new nomadic computing platform. This integration (1) enables observing the periphery and responding appropriately, e.g., to the casual placement of objects within its field of view, (2) enables integration between physical and digital objects via computer vision, (3) provides a horizontal surface in tandem with the usual vertical laptop display, allowing direct pointing and gestures, and (4) enlarges the input/output space to enrich existing applications. We describe Bonfire's architecture, and offer scenarios that highlight Bonfire's advantages. We also include lessons learned and insights for further development and use.},
  isbn = {978-1-60558-745-5}
}",10.1145/1622176.1622202,,,,,x,,,,,,,x,,x,,,,,,,,,x,,x,,,x,,,,x,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,x,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,
535,2022,"Marc Satkowski, Rufat Rzayev, Eva Goebel, Raimund Dachselt",ABOVE & BELOW: Investigating Ceiling and Floor for Augmented Reality Content Placement,"@inproceedings{satkowski2022investigating,
  title = {{{ABOVE}} \& {{BELOW}}: {{Investigating Ceiling}} and {{Floor}} for {{Augmented Reality Content Placement}}},
  shorttitle = {{{ABOVE}} \& {{BELOW}}},
  booktitle = {2022 {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality}} ({{ISMAR}})},
  author = {Satkowski, Marc and Rzayev, Rufat and Goebel, Eva and Dachselt, Raimund},
  year = {2022},
  month = oct,
  pages = {518--527},
  issn = {1554-7868},
  doi = {10.1109/ISMAR55827.2022.00068},
  abstract = {Augmented Reality (AR) interfaces support users by providing access to digital content within real-world environments. However, displaying content at the users' eye level might result in the occlusion of the real world. Therefore, it requires finding AR content placement areas that free the users' field of vision. In this work, we systematically investigate two content placement areas beyond the users' eye level: the ceiling and floor. To understand how potential users perceive virtual content on the ceiling and floor and how the content should be placed on these areas, we conducted two user studies. While the first exploratory study showed the general usefulness of either area, the second quantitative study allowed us to define optimal placement parameters regarding visibility and comfort. With insights from our studies, we provide design recommendations for future AR applications that support 2D content presentation on the ceiling and the floor.}
}",10.1109/ISMAR55827.2022.00068,x,,,,,,,,,,x,,,,,,,,,,,,x,,x,,,x,,,,x,x,,,,x,,,x,x,,,,x,,,,,,,,,x,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,
